16:28:59 [General][test1][SumBiv] - (Message: /readd)
16:29:03 [General][test1][SumBiv] - (Message: /addagi 500)
16:29:07 [General][test1][SumBiv] - (Message: /addagi 500)
16:29:11 [General][test1][SumBiv] - (Message: /addagi 600)
16:29:13 [General][test1][SumBiv] - (Message: /addagi 20)
16:29:16 [General][test1][SumBiv] - (Message: /addagi 100)
16:29:18 [General][test1][SumBiv] - (Message: /addagi 200)
16:29:23 [General][test1][SumBiv] - (Message: /addagi 50)
16:29:26 [General][test1][SumBiv] - (Message: /addagi 50)
16:29:34 [General][test1][SumBiv] - (Message: /addstr 188)
16:29:40 [General][test1][SumBiv] - (Message: /addene 1377)
