00:28:11 [General][test][ElfBuff] - (Message: /offattack)
00:28:57 [General][test1][SumBiv] - (Message: /offattack)
00:29:04 [General][test1][SumBiv] - (Message: /attack)
00:29:21 [General][kudoshjn][IKBiv] - (Message: /attack)
22:29:43 [General][test1][SumBiv] - (Message: /money0)
22:29:46 [General][test1][SumBiv] - (Message: /money 0)
22:48:43 [General][test][ElfBuff] - (Message: /money 9999999999)
22:48:50 [General][test][ElfBuff] - (Message: /money 9999999999)
22:48:53 [General][test][ElfBuff] - (Message: /money 9999999999)
22:48:57 [General][test][ElfBuff] - (Message: /money 9999999999)
22:51:57 [General][test][ElfBuff] - (Message: /money 9999999999)
22:52:02 [General][test][ElfBuff] - (Message: /money 9999999999)
22:52:07 [General][test][ElfBuff] - (Message: /money 9999999999)
22:54:34 [General][test][ElfBuff] - (Message: /money 9999999999)
22:54:41 [General][test][ElfBuff] - (Message: /money 9999999999)
22:54:46 [General][test][ElfBuff] - (Message: /money 9999999999)
22:58:13 [General][test][ElfBuff] - (Message: /money 9999999999)
22:58:20 [General][test][ElfBuff] - (Message: /money 9999999999)
22:59:33 [General][test][ElfBuff] - (Message: /money 9999999999)
22:59:39 [General][test][ElfBuff] - (Message: /money 9999999999)
